# r/Å                 g(r)         N(r)
0.005000         0.000000     0.000000
0.015000         0.000000     0.000000
0.025000         0.000000     0.000000
0.035000         0.000000     0.000000
0.045000         0.000000     0.000000
0.055000         0.000000     0.000000
0.065000         0.000000     0.000000
0.075000         0.000000     0.000000
0.085000         0.000000     0.000000
0.095000         0.000000     0.000000
0.105000         0.000000     0.000000
0.115000         0.000000     0.000000
0.125000         0.000000     0.000000
0.135000         0.000000     0.000000
0.145000         0.000000     0.000000
0.155000         0.000000     0.000000
0.165000         0.000000     0.000000
0.175000         0.000000     0.000000
0.185000         0.000000     0.000000
0.195000         0.000000     0.000000
0.205000         0.000000     0.000000
0.215000         0.000000     0.000000
0.225000         0.000000     0.000000
0.235000         0.000000     0.000000
0.245000         0.000000     0.000000
0.255000         0.000000     0.000000
0.265000         0.000000     0.000000
0.275000         0.000000     0.000000
0.285000         0.000000     0.000000
0.295000         0.000000     0.000000
0.305000         0.000000     0.000000
0.315000         0.000000     0.000000
0.325000         0.000000     0.000000
0.335000         0.000000     0.000000
0.345000         0.000000     0.000000
0.355000         0.000000     0.000000
0.365000         0.000000     0.000000
0.375000         0.000000     0.000000
0.385000         0.000000     0.000000
0.395000         0.000000     0.000000
0.405000         0.000000     0.000000
0.415000         0.000000     0.000000
0.425000         0.000000     0.000000
0.435000         0.000000     0.000000
0.445000         0.000000     0.000000
0.455000         0.000000     0.000000
0.465000         0.000000     0.000000
0.475000         0.000000     0.000000
0.485000         0.000000     0.000000
0.495000         0.000000     0.000000
0.505000         0.000000     0.000000
0.515000         0.000000     0.000000
0.525000         0.000000     0.000000
0.535000         0.000000     0.000000
0.545000         0.000000     0.000000
0.555000         0.000000     0.000000
0.565000         0.000000     0.000000
0.575000         0.000000     0.000000
0.585000         0.000000     0.000000
0.595000         0.000000     0.000000
0.605000         0.000000     0.000000
0.615000         0.000000     0.000000
0.625000         0.000000     0.000000
0.635000         0.000000     0.000000
0.645000         0.000000     0.000000
0.655000         0.000000     0.000000
0.665000         0.000000     0.000000
0.675000         0.000000     0.000000
0.685000         0.000000     0.000000
0.695000         0.000000     0.000000
0.705000         0.000000     0.000000
0.715000         0.000000     0.000000
0.725000         0.000000     0.000000
0.735000         0.000000     0.000000
0.745000         0.000000     0.000000
0.755000         0.000000     0.000000
0.765000         0.000000     0.000000
0.775000         0.000000     0.000000
0.785000         0.000000     0.000000
0.795000         0.000000     0.000000
0.805000         0.000000     0.000000
0.815000         0.000000     0.000000
0.825000         0.000000     0.000000
0.835000         0.000000     0.000000
0.845000         0.000000     0.000000
0.855000         0.000000     0.000000
0.865000         0.000000     0.000000
0.875000         0.000000     0.000000
0.885000         0.002963     0.000019
0.895000         0.027613     0.000204
0.905000         0.063185     0.000637
0.915000         0.266726     0.002504
0.925000         1.036193     0.009917
0.935000         2.683744     0.029533
0.945000         6.017440     0.074461
0.955000        11.325408     0.160820
0.965000        18.021650     0.301133
0.975000        24.787626     0.498144
0.985000        29.769609     0.739630
0.995000        31.677100     1.001833
1.005000        29.684106     1.252503
1.015000        25.370349     1.471030
1.025000        20.219706     1.648641
1.035000        14.353455     1.777194
1.045000         9.504704     1.863974
1.055000         5.980530     1.919627
1.065000         3.730364     1.955002
1.075000         2.218730     1.976439
1.085000         1.204211     1.988291
1.095000         0.558228     1.993887
1.105000         0.304744     1.996999
1.115000         0.141441     1.998469
1.125000         0.064646     1.999153
1.135000         0.032572     1.999504
1.145000         0.023462     1.999761
1.155000         0.011241     1.999886
1.165000         0.003197     1.999922
1.175000         0.001228     1.999937
1.185000         0.002741     1.999969
1.195000         0.002506     1.999999
1.205000         0.000108     2.000000
1.215000         0.000000     2.000000
1.225000         0.000000     2.000000
1.235000         0.000000     2.000000
1.245000         0.000000     2.000000
1.255000         0.000000     2.000000
1.265000         0.000000     2.000000
1.275000         0.000000     2.000000
1.285000         0.000000     2.000000
1.295000         0.000000     2.000000
1.305000         0.000000     2.000000
1.315000         0.000000     2.000000
1.325000         0.000000     2.000000
1.335000         0.000000     2.000000
1.345000         0.000000     2.000000
1.355000         0.000000     2.000000
1.365000         0.000000     2.000000
1.375000         0.001155     2.000018
1.385000         0.004213     2.000086
1.395000         0.006384     2.000190
1.405000         0.006793     2.000302
1.415000         0.010488     2.000477
1.425000         0.013937     2.000714
1.435000         0.019293     2.001046
1.445000         0.024132     2.001467
1.455000         0.032337     2.002040
1.465000         0.042878     2.002809
1.475000         0.056211     2.003832
1.485000         0.084742     2.005394
1.495000         0.093355     2.007139
1.505000         0.111752     2.009255
1.515000         0.134462     2.011835
1.525000         0.165573     2.015054
1.535000         0.217621     2.019342
1.545000         0.236303     2.024058
1.555000         0.289900     2.029918
1.565000         0.359964     2.037289
1.575000         0.411374     2.045821
1.585000         0.481419     2.055933
1.595000         0.542767     2.067478
1.605000         0.608382     2.080581
1.615000         0.692399     2.095679
1.625000         0.782839     2.112963
1.635000         0.870051     2.132408
1.645000         0.977075     2.154514
1.655000         1.010578     2.177657
1.665000         1.095749     2.203054
1.675000         1.181637     2.230771
1.685000         1.254705     2.260556
1.695000         1.346036     2.292888
1.705000         1.381188     2.326458
1.715000         1.422047     2.361427
1.725000         1.528342     2.399450
1.735000         1.566956     2.438886
1.745000         1.540834     2.478114
1.755000         1.510527     2.517012
1.765000         1.572264     2.557962
1.775000         1.618653     2.600600
1.785000         1.622722     2.643828
1.795000         1.598523     2.686890
1.805000         1.550497     2.729124
1.815000         1.527176     2.771186
1.825000         1.496996     2.812872
1.835000         1.459196     2.853952
1.845000         1.408956     2.894051
1.855000         1.376999     2.933666
1.865000         1.401242     2.974415
1.875000         1.339191     3.013778
1.885000         1.290157     3.052106
1.895000         1.220976     3.088764
1.905000         1.136218     3.123238
1.915000         1.142611     3.158271
1.925000         1.106697     3.192559
1.935000         1.064405     3.225879
1.945000         1.031393     3.258501
1.955000         0.990430     3.290150
1.965000         0.940630     3.320516
1.975000         0.889700     3.349531
1.985000         0.844225     3.377342
1.995000         0.790161     3.403636
2.005000         0.752038     3.428912
2.015000         0.729168     3.453665
2.025000         0.657277     3.476199
2.035000         0.614070     3.497460
2.045000         0.564279     3.517190
2.055000         0.537407     3.536164
2.065000         0.505306     3.554180
2.075000         0.492864     3.571922
2.085000         0.465076     3.588825
2.095000         0.427100     3.604498
2.105000         0.389677     3.618934
2.115000         0.359222     3.632369
2.125000         0.353766     3.645725
2.135000         0.336089     3.658533
2.145000         0.337227     3.671506
2.155000         0.312950     3.683657
2.165000         0.280372     3.694644
2.175000         0.277347     3.705614
2.185000         0.254060     3.715755
2.195000         0.253963     3.725985
2.205000         0.243336     3.735876
2.215000         0.231847     3.745387
2.225000         0.220355     3.754507
2.235000         0.228745     3.764061
2.245000         0.223469     3.773477
2.255000         0.209861     3.782399
2.265000         0.207781     3.791311
2.275000         0.211073     3.800445
2.285000         0.207078     3.809485
2.295000         0.213271     3.818876
2.305000         0.203370     3.827910
2.315000         0.192507     3.836536
2.325000         0.181347     3.844732
2.335000         0.184214     3.853129
2.345000         0.192118     3.861962
2.355000         0.179545     3.870287
2.365000         0.171285     3.878297
2.375000         0.167471     3.886195
2.385000         0.166944     3.894134
2.395000         0.150865     3.901369
2.405000         0.156521     3.908938
2.415000         0.164062     3.916938
2.425000         0.153715     3.924496
2.435000         0.153726     3.932117
2.445000         0.165103     3.940369
2.455000         0.166095     3.948738
2.465000         0.154166     3.956570
2.475000         0.147404     3.964119
2.485000         0.150027     3.971865
2.495000         0.153166     3.979837
2.505000         0.152615     3.987843
2.515000         0.150756     3.995816
2.525000         0.156375     4.004151
2.535000         0.170113     4.013291
2.545000         0.184211     4.023267
2.555000         0.179061     4.033040
2.565000         0.189196     4.043447
2.575000         0.196426     4.054336
2.585000         0.187451     4.064809
2.595000         0.189383     4.075471
2.605000         0.193247     4.086435
2.615000         0.200672     4.097908
2.625000         0.206717     4.109817
2.635000         0.220123     4.122595
2.645000         0.240925     4.136687
2.655000         0.247628     4.151281
2.665000         0.265266     4.167033
2.675000         0.280723     4.183827
2.685000         0.289049     4.201250
2.695000         0.301105     4.219534
2.705000         0.303055     4.238073
2.715000         0.311566     4.257275
2.725000         0.336256     4.278151
2.735000         0.371779     4.301402
2.745000         0.386768     4.325767
2.755000         0.385692     4.350243
2.765000         0.399702     4.375792
2.775000         0.422244     4.402977
2.785000         0.463902     4.433060
2.795000         0.480804     4.464463
2.805000         0.513526     4.498244
2.815000         0.542108     4.534160
2.825000         0.556721     4.571306
2.835000         0.584632     4.610592
2.845000         0.602380     4.651356
2.855000         0.641121     4.695047
2.865000         0.684191     4.742001
2.875000         0.732499     4.792621
2.885000         0.743345     4.844349
2.895000         0.767207     4.898109
2.905000         0.821723     4.956086
2.915000         0.842513     5.015941
2.925000         0.864667     5.077791
2.935000         0.910114     5.143339
2.945000         0.952269     5.212390
2.955000         0.984408     5.284258
2.965000         1.022908     5.359443
2.975000         1.051134     5.437224
2.985000         1.075913     5.517375
2.995000         1.113755     5.600902
3.005000         1.173756     5.689518
3.015000         1.223272     5.782487
3.025000         1.262038     5.879040
3.035000         1.299343     5.979106
3.045000         1.332130     6.082373
3.055000         1.354406     6.188059
3.065000         1.372872     6.295887
3.075000         1.422740     6.408363
3.085000         1.471154     6.525424
3.095000         1.475472     6.643591
3.105000         1.488484     6.763571
3.115000         1.529798     6.887677
3.125000         1.528887     7.012507
3.135000         1.531718     7.138370
3.145000         1.568824     7.268106
3.155000         1.590307     7.400455
3.165000         1.602885     7.534699
3.175000         1.596513     7.669255
3.185000         1.623447     7.806944
3.195000         1.637395     7.946690
3.205000         1.676937     8.090707
3.215000         1.702413     8.237827
3.225000         1.687844     8.384596
3.235000         1.653190     8.529245
3.245000         1.651195     8.674614
3.255000         1.642086     8.820073
3.265000         1.647835     8.966939
3.275000         1.612207     9.111512
3.285000         1.600331     9.255898
3.295000         1.590746     9.400294
3.305000         1.566131     9.543319
3.315000         1.563463     9.686967
3.325000         1.568907     9.831985
3.335000         1.536385     9.974853
3.345000         1.537602    10.118693
3.355000         1.544350    10.264030
3.365000         1.516449    10.407592
3.375000         1.503549    10.550781
3.385000         1.500360    10.694513
3.395000         1.489888    10.838088
3.405000         1.455655    10.979190
3.415000         1.443153    11.119904
3.425000         1.426235    11.259784
3.435000         1.401415    11.398034
3.445000         1.384015    11.535363
3.455000         1.358186    11.670912
3.465000         1.340290    11.805451
3.475000         1.329412    11.939670
3.485000         1.322560    12.073966
3.495000         1.302367    12.206972
3.505000         1.296610    12.340149
3.515000         1.277129    12.472074
3.525000         1.255440    12.602498
3.535000         1.244095    12.732478
3.545000         1.227031    12.861401
3.555000         1.211749    12.989438
3.565000         1.206541    13.117643
3.575000         1.169658    13.242627
3.585000         1.154725    13.366706
3.595000         1.166083    13.492706
3.605000         1.173348    13.620197
3.615000         1.140703    13.744830
3.625000         1.105674    13.866305
3.635000         1.089448    13.986658
3.645000         1.090511    14.107793
3.655000         1.075512    14.227918
3.665000         1.081186    14.349338
3.675000         1.060695    14.469108
3.685000         1.055897    14.588987
3.695000         1.044850    14.708255
3.705000         1.048722    14.828614
3.715000         1.044939    14.949188
3.725000         1.030092    15.068689
3.735000         1.035035    15.189409
3.745000         1.036346    15.310930
3.755000         1.019360    15.431098
3.765000         1.010180    15.550820
3.775000         1.012437    15.671447
3.785000         1.011368    15.792586
3.795000         1.003148    15.913376
3.805000         0.989515    16.033154
3.815000         0.983946    16.152884
3.825000         0.960224    16.270341
3.835000         0.961076    16.388517
3.845000         0.974812    16.509009
3.855000         0.970729    16.629621
3.865000         0.964977    16.750141
3.875000         0.956537    16.870225
3.885000         0.967821    16.992355
3.895000         0.967323    17.115051
3.905000         0.957819    17.237165
3.915000         0.956880    17.359786
3.925000         0.955828    17.482899
3.935000         0.970820    17.608580
3.945000         0.982866    17.736469
3.955000         0.964934    17.862661
3.965000         0.952688    17.987883
3.975000         0.943532    18.112528
3.985000         0.972446    18.241639
3.995000         0.959111    18.369620
4.005000         0.954387    18.497609
4.015000         0.949830    18.625624
4.025000         0.952172    18.754595
4.035000         0.959657    18.885226
4.045000         0.953242    19.015627
4.055000         0.948160    19.145976
4.065000         0.953360    19.277687
4.075000         0.948986    19.409439
4.085000         0.955811    19.542791
4.095000         0.957471    19.677029
4.105000         0.952111    19.811169
4.115000         0.954517    19.946303
4.125000         0.961415    20.083077
4.135000         0.959322    20.220215
4.145000         0.967893    20.359248
4.155000         0.971642    20.499495
4.165000         0.981103    20.641789
4.175000         0.971235    20.783329
4.185000         0.957923    20.923599
4.195000         0.958515    21.064627
4.205000         0.961483    21.206768
4.215000         0.964655    21.350056
4.225000         0.956003    21.492733
4.235000         0.973884    21.638768
4.245000         0.970243    21.784945
4.255000         0.969980    21.931772
4.265000         0.958855    22.077598
4.275000         0.953020    22.223217
4.285000         0.968590    22.371907
4.295000         0.945678    22.517760
4.305000         0.942591    22.663813
4.315000         0.955689    22.812585
4.325000         0.967065    22.963827
4.335000         0.977812    23.117457
4.345000         0.959871    23.268965
4.355000         0.956823    23.420688
4.365000         0.960617    23.573713
4.375000         0.955272    23.726584
4.385000         0.959052    23.880763
4.395000         0.959125    24.035657
4.405000         0.974091    24.193685
4.415000         0.961630    24.350401
4.425000         0.961575    24.507818
4.435000         0.950713    24.664162
4.445000         0.942252    24.819814
4.455000         0.951913    24.977769
4.465000         0.967619    25.139053
