# cutoff = 5.000000 Angstrom
# q                            P(q)
0.005000                 0.025192
0.015000                 0.023055
0.025000                 0.027886
0.035000                 0.031308
0.045000                 0.030089
0.055000                 0.053965
0.065000                 0.081051
0.075000                 0.068062
0.085000                 0.066228
0.095000                 0.075789
0.105000                 0.074574
0.115000                 0.100163
0.125000                 0.108145
0.135000                 0.104129
0.145000                 0.099860
0.155000                 0.147640
0.165000                 0.165547
0.175000                 0.145992
0.185000                 0.097870
0.195000                 0.089785
0.205000                 0.100601
0.215000                 0.121270
0.225000                 0.099470
0.235000                 0.132514
0.245000                 0.158928
0.255000                 0.222003
0.265000                 0.209589
0.275000                 0.211427
0.285000                 0.209439
0.295000                 0.225374
0.305000                 0.210701
0.315000                 0.304195
0.325000                 0.354581
0.335000                 0.412879
0.345000                 0.386146
0.355000                 0.426985
0.365000                 0.501372
0.375000                 0.480123
0.385000                 0.542358
0.395000                 0.573291
0.405000                 0.563336
0.415000                 0.482826
0.425000                 0.459144
0.435000                 0.449554
0.445000                 0.709198
0.455000                 1.037215
0.465000                 0.986435
0.475000                 0.692937
0.485000                 0.678516
0.495000                 0.779949
0.505000                 1.021662
0.515000                 0.968049
0.525000                 0.912804
0.535000                 1.042708
0.545000                 1.062926
0.555000                 1.292723
0.565000                 1.327349
0.575000                 1.269922
0.585000                 1.392134
0.595000                 1.275636
0.605000                 1.232114
0.615000                 1.324782
0.625000                 1.336303
0.635000                 1.413944
0.645000                 1.433929
0.655000                 1.529321
0.665000                 1.527293
0.675000                 1.472848
0.685000                 1.385347
0.695000                 1.534476
0.705000                 1.472832
0.715000                 1.622243
0.725000                 2.230994
0.735000                 2.055678
0.745000                 2.202241
0.755000                 2.307646
0.765000                 2.314231
0.775000                 2.217333
0.785000                 2.610067
0.795000                 2.439216
0.805000                 2.399617
0.815000                 2.580466
0.825000                 2.660884
0.835000                 2.769294
0.845000                 2.413775
0.855000                 2.266594
0.865000                 2.471283
0.875000                 2.321592
0.885000                 1.950686
0.895000                 2.156219
0.905000                 2.158288
0.915000                 2.196227
0.925000                 2.389636
0.935000                 1.809668
0.945000                 1.648740
0.955000                 1.199184
0.965000                 1.200365
0.975000                 0.921010
0.985000                 0.634393
0.995000                 0.284642
